"t_origen","t_objetivo","C","x","e","gap","speed","y_rnas"
1,2,-0.761594155955765,0,0.0113891844827965,0.00235293194200252,0.0146079533748513,-0.751589752370579
2,3,-0.746986202580914,0.0135489371206091,-0.0150697035932791,-0.018949492283696,0.0146079533748513,-0.70044536917531
3,4,-0.731619535458293,0.027035622022921,-0.0099962215100826,-0.00981114887401337,0.0153666671226206,-0.714061416334519
4,5,-0.715471584163011,0.0403980885139293,-0.0305572614932127,-0.00512184384396494,0.0161479512952819,-0.695935442429631
5,6,-0.69852119713285,0.0535749411370322,-0.0321537367942673,0.0368772401046442,0.0169503870301614,-0.646447638562305
6,7,-0.680748938299971,0.0665056372608291,0.00910585924212774,-0.0130389980339092,0.017772258832879,-0.652919075729927
7,8,-0.662137399849711,0.079130765249509,0.0134462933588828,0.00470773144569714,0.0186115384502594,-0.667972753058869
8,9,-0.642671528366739,0.0913923174367446,0.00159012680191512,0.00155921699127422,0.0194658714829726,-0.636076017950323
9,10,-0.622338960912453,0.103233956648879,0.0276680240363921,-0.0192371326826026,0.0203325674542859,-0.610043606234519
10,11,-0.60113036683252,0.114601275052836,0.0615025405688143,-0.00142616172247197,0.0212085940799326,-0.554558154391943
11,12,-0.579039790340732,0.125442044139439,-0.0147309349816961,0.028891017168467,0.0220905764917877,-0.548868711649653
12,13,-0.5560649881908,0.135706454693566,-0.0692750662692244,0.00903008106158429,0.0229748021499323,-0.524192327049598
13,14,-0.532207756061479,0.145347345648574,0.0301721557338677,0.000824658439858799,0.0238572321293214,-0.505260582357791
14,15,-0.507474236676693,0.154320420773477,-0.0212760228774718,-0.0084499366467925,0.0247335193847855,-0.492992024893111
15,16,-0.48187520219803,0.162584452197298,-0.0206402584940207,-0.0410649444308103,0.0255990344786632,-0.419688040364267
16,17,-0.455426303100329,0.170101469835474,0.030767141090901,0.0226267442682835,0.0264488990977012,-0.418191266045221
17,18,-0.428148275609806,0.176836935847967,-0.00854319021153027,-0.0292128014184964,0.0272780274905228,-0.439399443015589
18,19,-0.400067099882996,0.182759903327517,-0.0366215313676361,0.0147989502175467,0.0280811757268095,-0.35718698343194
19,20,-0.371214101463214,0.187843158488922,0.00543910439247451,0.0381820713843497,0.0288529984197827,-0.351081817345135
20,21,-0.341625989190576,0.192063345706045,-0.00416674087317134,-0.028877863219436,0.0295881122726379,-0.33270129779235
21,22,-0.311344823672614,0.195401074822036,0.000172925576996608,0.0140356867074942,0.0302811655179623,-0.284777409935966
22,23,-0.2804179116428,0.197841010239742,0.0115584120337899,-0.00524394978804936,0.0309269120298132,-0.269417711993153
23,24,-0.248897623027008,0.199371941382945,-0.0111198009537723,-0.0314428831829098,0.031520288615792,-0.231418953855982
24,25,-0.216841129270159,0.199986834204703,0.019331296455565,-0.030293353075635,0.0320564937568495,-0.196810848755699
25,26,-0.184310063398714,0.199682863506122,-0.00661459685456252,-0.0320307234714919,0.0325310658714453,-0.185103970560879
26,27,-0.151370104346031,0.198461425917072,0.00995345891747091,-0.0106181304434061,0.0329399590526829,-0.10133474928169
27,28,-0.11809049017158,0.196328133479202,0.0329051703944804,-0.029235111699918,0.0332796141744504,-0.0814760045205803
28,29,-0.0845434668773107,0.193292787860743,0.0130554447250141,0.0137583354595166,0.0335470232942697,-0.0735664202166311
29,30,-0.0508036814763922,0.189369335321565,-0.0097779475659368,0.0420021788105134,0.0337397854009185,0.00812876870820793
30,31,-0.0169475297131906,0.184575802635412,0.0344642285535328,-0.0257406095207036,0.0338561517632016,0.0254768141427269
31,32,0.0169475297131906,0.178934214263726,0.0298051156788636,0.0157547769495036,0.0338950594263812,0.0449022518165469
32,33,0.0508036814763923,0.172470491161615,0.0164519087852421,0.0153808448200182,0.0338561517632017,0.102445980098211
33,34,0.0845434668773107,0.165214331680912,0.00716195205334324,0.00664405157900235,0.0337397854009184,0.135653159922241
34,35,0.11809049017158,0.15719907511753,-0.0188371822811811,-0.0201675321655402,0.0335470232942696,0.16780172597878
35,36,0.151370104346031,0.148461548530069,0.0408195734559002,-0.00238905213261317,0.0332796141744505,0.198082868480715
36,37,0.184310063398714,0.139041897533471,-0.0180077876144138,-0.00560790670340493,0.0329399590526829,0.227919482340911
37,38,0.216841129270159,0.128983401845168,0.0656199897904973,0.0112597906644096,0.0325310658714454,0.247659388815474
38,39,0.248897623027008,0.118332276431234,0.0459783187855557,-0.00744877512207658,0.0320564937568494,0.274298658368002
39,40,0.2804179116428,0.107137459166165,-0.00707101077301431,0.0195394677337124,0.0315202886157919,0.303735403652366
40,41,0.311344823672614,0.0954503859819442,-0.0307926270092034,-0.00749161715534028,0.0309269120298133,0.327731849612166
41,42,0.341625989190576,0.0833247545394769,-0.021312196910979,0.0210542293115866,0.0302811655179623,0.367055755902822
42,43,0.371214101463214,0.0708162775082387,0.00770651127469589,-0.0209835401333213,0.0295881122726381,0.374759172851631
43,44,0.400067099882996,0.0579824265877278,-0.00740075635387121,-0.0252031048951622,0.0288529984197826,0.471527394916576
44,45,0.428148275609806,0.0448821684468412,-0.010426277981932,0.0648207986988481,0.0280811757268093,0.479585543066428
45,46,0.455426303100329,0.0315756937944351,-0.0285485570179505,-0.00833715176320864,0.0272780274905229,0.459413030533963
46,47,0.48187520219803,0.0181241408258865,-0.00135083174426761,0.00596455183081431,0.0264488990977012,0.499416539970712
47,48,0.507474236676693,0.00458931431631387,-0.0235471340837123,0.012731393480677,0.0255990344786632,0.522874648989014
48,49,0.532207756061479,-0.00896659834888189,-0.0500382580976441,-0.00967561251417487,0.0247335193847855,0.571664290557527
49,50,0.5560649881908,-0.0224813129014265,-0.0114067956086329,0.0103372408862722,0.0238572321293216,0.577372409011296
50,51,0.579039790340732,-0.0358927343627204,0.027569898271823,0.00737929054770172,0.0229748021499322,0.606196737112415
